Site code,HYMO  type,"Highly rheophilic, intolerant species","Rheophilic benthic species, preferring sandy-gravel bottom substrate","Rheophilic water column species, preferring sandy-gravel bottom substrate",Limnophilic benthic species of moderate tolerance,Limnophilic water column species of moderate tolerance,"Intolerant, rheophilic benthic species, preferring detritus or pelal bottom substrate","Intolerant, water column species",Limnophilic lithophilic species of moderate tolerance,Limnophilic phytophilic species of moderate tolerance,Benthic species  of moderate tolerance,Generalists - tolerant species
SE0672,12,0.358974359,0,0.615384615,0,0,0,0,0,0,0.025641026,0
SE0673,14,0.916666667,0,0,0,0,0,0,0,0,0.083333333,0
SE0674,14,0.5,0,0,0,0,0,0,0,0,0.5,0
SE0675,14,0,0,0,0,0,0,0,0,0,1,0
SE0676,14,1,0,0,0,0,0,0,0,0,0,0
SE0677,14,1,0,0,0,0,0,0,0,0,0,0
SE0678,14,1,0,0,0,0,0,0,0,0,0,0
SE0679,14,1,0,0,0,0,0,0,0,0,0,0
SE0680,14,1,0,0,0,0,0,0,0,0,0,0
SE0684,14,0.933333333,0,0,0,0,0,0,0,0,0.066666667,0
SE0685,14,1,0,0,0,0,0,0,0,0,0,0
SE0686,14,0.888888889,0,0,0,0,0,0,0,0,0.111111111,0
SE0687,14,1,0,0,0,0,0,0,0,0,0,0
SE0688,5,0.462585034,0,0.517006803,0,0,0,0,0,0,0.013605442,0.006802721
SE0689,14,1,0,0,0,0,0,0,0,0,0,0
SE0690,14,1,0,0,0,0,0,0,0,0,0,0
SE0691,14,1,0,0,0,0,0,0,0,0,0,0
SE0692,5,0.925925926,0,0.049382716,0,0,0,0,0,0,0.024691358,0
SE0693,14,1,0,0,0,0,0,0,0,0,0,0
SE0694,14,1,0,0,0,0,0,0,0,0,0,0
SE0695,14,1,0,0,0,0,0,0,0,0,0,0
SE0696,14,0.666666667,0,0,0,0,0,0.333333333,0,0,0,0
SE0697,5,0.758064516,0,0.225806452,0,0,0,0,0,0,0.016129032,0
SE0698,12,0.936708861,0,0.050632911,0,0,0,0,0,0,0.012658228,0
SE0699,12,0.39,0,0.59,0,0,0.01,0,0,0,0.01,0
SE0700,5,0.784090909,0,0.215909091,0,0,0,0,0,0,0,0
SE0701,12,0.882352941,0,0.098039216,0,0,0,0,0,0,0.019607843,0
SE0702,14,0.658536585,0,0.317073171,0,0,0,0,0,0,0.024390244,0
SE0703,14,0.955555556,0,0,0,0,0,0,0,0,0.044444444,0
SE0704,5,0.555555556,0,0.416666667,0,0,0,0,0,0.013888889,0,0.013888889
SE0705,14,0.904761905,0,0.095238095,0,0,0,0,0,0,0,0
SE0706,14,1,0,0,0,0,0,0,0,0,0,0
SE0707,14,1,0,0,0,0,0,0,0,0,0,0
SE0708,14,1,0,0,0,0,0,0,0,0,0,0
SE0709,14,0.961538462,0,0,0,0,0,0,0,0.038461538,0,0
SE0710,14,0.25,0,0.75,0,0,0,0,0,0,0,0
SE0711,14,0.228571429,0,0.771428571,0,0,0,0,0,0,0,0
SE0713,14,0.333333333,0,0,0,0,0,0.666666667,0,0,0,0
SE0714,14,0.5,0,0,0,0,0,0.5,0,0,0,0
SE0715,14,1,0,0,0,0,0,0,0,0,0,0
SKIDIKR0003,3,0.03785489,0.176656151,0.785488959,0,0,0,0,0,0,0,0
